name,date,length,description,image,link
The Professional,1994,109 min,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive father stores drugs for corrupt police officers, and her mother neglects her. Léon (Jean Reno), who lives down the hall, tends to his houseplants and works as a hired hitman for mobster Tony (Danny Aiello). When her family is murdered by crooked DEA agent Stansfield (Gary Oldman), Mathilda joins forces with a reluctant Léon to learn his deadly trade and avenge her family's deaths.",https://readysteadycut.com/wp-content/uploads/2018/02/493654.jpg,https://www.imdb.com/title/tt0110413/
Pirates of the Caribbean: Dead Man's Chest,2006,151 min,"Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightley) join forces with Capt. Barbossa (Geoffrey Rush) to free Jack Sparrow (Johnny Depp) from Davy Jones' locker. Meanwhile, the crew of the Flying Dutchman ghost ship wreaks havoc on the Seven Seas. The friends must navigate dangerous waters to confront Chinese pirate Sao Feng (Chow Yun-Fat) and, ultimately, they must choose sides in a battle wherein the pirate life hangs in the balance.",https://cdn.empireonline.com/jpg/80/0/0/1000/563/0/north/0/0/0/0/0/t/films/58/images/hdHgIcljPHli4xaJGt0INz8Gn3J.jpg,https://www.imdb.com/title/tt0383574/
Pirates of the Caribbean: At World's End,2007,169 min,"When ghostly pirate Davy Jones (Bill Nighy) comes to collect a blood debt, Capt. Jack Sparrow (Johnny Depp) must find a way to avoid his fate lest his soul be damned for all time. Nevertheless, the wily ghost manages to interrupt the wedding plans of Jack's friends Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightley).",https://medias.spotern.com/spots/w640/3791.jpg,https://www.imdb.com/title/tt0449088/
Iron Man,2008,127 min,"A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him to force him to build a devastating weapon. Instead, he builds an armored suit and upends his captors. Returning to America, Stark refines the suit and uses it to combat crime and terrorism.",https://images-na.ssl-images-amazon.com/images/I/91qvAndeVYL._RI_.jpg,https://www.imdb.com/title/tt0378194/
Kill Bill vol. 1,2003,111 min,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover Bill (David Carradine) attempts to murder her on her wedding day. Fueled by an insatiable desire for revenge, she vows to get even with every person who contributed to the loss of her unborn child, her entire wedding party, and four years of her life. After devising a hit list, The Bride sets off on her quest, enduring unspeakable injury and unscrupulous enemies.",https://art-s.nflximg.net/a0ce8/ce0c266b18f6f3f7297c8de9615a97b0fb6a0ce8.jpg,https://www.imdb.com/title/tt0266697/
Kill Bill vol. 2,2004,137 min,"The Bride (Uma Thurman) picks up where she left off in volume one with her quest to finish the hit list she has composed of all of the people who have wronged her, including ex-boyfriend Bill (David Carradine), who tried to have her killed four years ago during her wedding to another man. Leaving several dead in her wake, she eventually tracks down Bill in Mexico. Using skills she has learned during her assassin career, she attempts to finish what she set out to do in the first place.",http://s18675.pcdn.co/wp-content/uploads/2015/11/kill-bill-vol-2-2004-15-g.jpg,https://www.imdb.com/title/tt0371746/
Pulp Fiction,1994,154 min,"Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson) are hitmen with a penchant for philosophical discussions. In this ultra-hip, multi-strand crime movie, their storyline is interwoven with those of their boss, gangster Marsellus Wallace (Ving Rhames) ; his actress wife, Mia (Uma Thurman) ; struggling boxer Butch Coolidge (Bruce Willis) ; master fixer Winston Wolfe (Harvey Keitel) and a nervous pair of armed robbers, ""Pumpkin"" (Tim Roth) and ""Honey Bunny"" (Amanda Plummer).",https://occ-0-2433-444.1.nflxso.net/art/6c7d8/c1f665232cb65c09e61bfce7ea02715fdd26c7d8.jpg,https://www.imdb.com/title/tt0110912/
Captain America: Winter Soldier,2014,137 min,"After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in the nation's capital as he tries to adjust to modern times. An attack on a S.H.I.E.L.D. colleague throws Rogers into a web of intrigue that places the whole world at risk. Joining forces with the Black Widow (Scarlett Johansson) and a new ally, the Falcon, Rogers struggles to expose an ever-widening conspiracy, but he and his team soon come up against an unexpected enemy.",https://cdn.vox-cdn.com/thumbor/XS7vPMIytyURWsr1xXwzDo8-1UU=/0x0:1019x679/1025x683/filters:format(webp)/cdn.vox-cdn.com/uploads/chorus_image/image/30933991/captainamerica_wintersoldier16_1020.0.jpg,https://www.imdb.com/title/tt1843866/
The Avengers,2012,144 min,"When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract, Nick Fury (Samuel L. Jackson), director of S.H.I.E.L.D., initiates a superhero recruitment effort to defeat the unprecedented threat to Earth. Joining Fury's ""dream team"" are Iron Man (Robert Downey Jr.), Captain America (Chris Evans), the Hulk (Mark Ruffalo), Thor (Chris Hemsworth), the Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner).",https://www.alternateending.com/wp-content/uploads/2012/05/xugcDnqRIPEwLmSM5vHzokhpiVh-1300x730.jpg,https://www.imdb.com/title/tt0848228/
Matrix,1999,136 min,"Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can answer his question -- What is the Matrix? Neo is contacted by Trinity (Carrie-Anne Moss), a beautiful stranger who leads him into an underworld where he meets Morpheus. They fight a brutal battle for their lives against a cadre of viciously intelligent secret agents. It is a truth that could cost Neo something more precious than his life.",https://static.pelisfox.tv/static/movie/gallery/original/8867d032145adc51eeb9ff210e527b3e.jpg,https://www.imdb.com/title/tt0133093/